DISTRICT NAME,ALLOTED WARDs-SSAs,WARDs-SSAs SURVEY_DONE,HOUSEHOLD COVERAGE-%
Kachchh,439,439,100.00%
Kaimur (Bhabua),224,224,100.00%
Kaithal,274,274,100.00%
Kalahandi,289,289,100.00%
Kamrup,310,310,100.00%
Kamrup Metropolitan,138,138,100.00%
Kancheepuram,1047,1047,100.00%
Kandhamal,177,177,100.00%
Kangra,499,499,100.00%
Kannauj,324,324,100.00%
Kanniyakumari,173,173,100.00%
Kannur,365,365,100.00%
Kanpur Dehat,421,421,100.00%
Kanpur Nagar,482,482,100.00%
Kanshiram Nagar,323,323,100.00%
Kapurthala,238,238,100.00%
Karaikal,21,21,100.00%
Karauli,329,329,100.00%
Karbi Anglong,164,164,100.00%
Kargil,11,11,100.00%
Karimganj,179,179,100.00%
Karimnagar,802,802,100.00%
Karnal,349,349,100.00%
Karur,400,400,100.00%
Kasaragod,192,192,100.00%
Kathua,55,55,100.00%
Katihar,485,485,100.00%
Katni,284,284,100.00%
Kaushambi,375,375,100.00%
Kendrapara,260,260,100.00%
Kendujhar,339,339,100.00%
Khagaria,220,220,100.00%
Khammam,606,606,100.00%
Kheda,492,492,100.00%
Kheri,668,668,100.00%
Khordha,315,315,100.00%
Khowai,88,88,100.00%
Khunti,94,94,100.00%
Kinnaur,112,112,100.00%
Kiphire,20,20,100.00%
Kishanganj,293,293,100.00%
Kishtwar,6,6,100.00%
Koch Bihar,519,519,100.00%
Kodagu,178,178,100.00%
Kodarma,113,113,100.00%
Kohima,65,65,100.00%
Kokrajhar,150,150,100.00%
Kolar,356,356,100.00%
Kolasib,20,20,100.00%
Kolhapur,879,879,100.00%
Kolkata,183,183,100.00%
Kollam,432,432,100.00%
Kondagaon,148,148,100.00%
Koppal,369,369,99.86%
Koraput,301,301,100.00%
Korba,222,222,100.00%
Koriya,218,218,100.00%
Kota,312,312,100.00%
Kottayam,377,377,100.00%
Kozhikode,352,352,100.00%
Krishna,892,892,100.00%
Krishnagiri,659,659,100.00%
Kulgam,49,49,100.00%
Kullu,136,136,100.00%
Kupwara,17,17,100.00%
Kurnool,1018,1018,100.00%
Kurukshetra,275,275,100.00%
Kurung Kumey,9,9,100.00%
Kushinagar,546,546,100.00%
Lahul & Spiti,36,36,100.00%
Lakhimpur,132,132,100.00%
Lakhisarai,204,204,100.00%
Lakshadweep,29,29,100.00%
Lalitpur,193,193,100.00%
Latehar,132,132,100.00%
Latur,439,439,100.00%
Lawngtlai,20,20,100.00%
Leh(Ladakh),15,15,100.00%
Lohardaga,93,93,100.00%
Lohit,9,9,100.00%
Longding,7,7,100.00%
Longleng,16,16,100.00%
Lower Dibang Valley,9,9,100.00%
Lower Subansiri,10,10,100.00%
Lucknow,432,432,100.00%
Ludhiana,590,590,100.00%
Lunglei,39,39,100.00%
Madhepura,345,345,100.00%
Madhubani,598,598,100.00%
Madurai,606,606,100.00%
Mahamaya Nagar,275,275,100.00%
Mahasamund,277,277,100.00%
Mahbubnagar,933,933,100.00%
Mahe,7,7,100.00%
Mahendragarh,203,203,100.00%
Mahesana,432,432,100.00%
Mahisagar,209,209,100.00%
Mahoba,220,220,100.00%
Mahrajganj,868,868,100.00%
Mainpuri,247,247,100.00%
Malappuram,612,612,100.00%
Maldah,629,629,100.00%
Malkangiri,132,132,87.74%
Mamit,16,16,100.00%
Mandi,196,196,100.00%
Mandla,268,268,100.00%
Mandsaur,358,358,100.00%
Mandya,444,444,100.00%
Mansa,178,178,100.00%
Mathura,582,582,99.83%
Mau,331,331,100.00%
Mayurbhanj,468,468,100.00%
Medak,685,685,100.00%
Meerut,516,516,100.00%
Mewat,246,246,100.00%
Mirzapur,361,361,100.00%
Moga,251,251,100.00%
Mokokchung,46,46,100.00%
Mon,47,47,100.00%
Moradabad,1100,1100,100.00%
Morbi,186,186,100.00%
Morena,454,454,100.00%
Morigaon,99,99,99.43%
Muktsar,216,216,100.00%
Mumbai,41,40,100.00%
Mumbai Suburban,39,36,100.00%
Mungeli,164,164,100.00%
Munger,203,203,100.00%
Murshidabad,1084,1084,100.00%
Muzaffarnagar,487,487,100.00%
Muzaffarpur,805,805,100.00%
Mysore,434,434,100.00%
Nabarangapur,207,207,100.00%
Nadia,745,745,100.00%
Nagaon,437,437,100.00%
Nagapattinam,410,410,100.00%
Nagaur,763,763,100.00%
Nagpur,600,600,100.00%
Naharlagun,0,0,0.00%
Nainital,259,259,100.00%
Nalanda,325,325,100.00%
Nalbari,196,196,100.00%
Nalgonda,818,818,100.00%
Namakkal,500,500,100.00%
Nanded,615,615,100.00%
Nandurbar,354,354,100.00%
Narayanpur,82,71,100.00%
Narmada,173,173,100.00%
Narsimhapur,249,249,100.00%
Nashik,1057,1057,100.00%
Navsari,276,276,100.00%
Nawada,243,243,100.00%
Nayagarh,203,203,100.00%
Neemuch,263,263,100.00%
New Delhi,20,20,100.00%
Nicobars,4,4,100.00%
Nizamabad,509,509,100.00%
North,14,14,100.00%
North & Middle Andaman,17,17,100.00%
North District,20,20,100.00%
North East,18,18,100.00%
North Garo Hills,21,21,100.00%
North Goa,222,222,100.00%
North Tripura,102,102,100.00%
North Twenty Four Parganas,1285,1285,100.00%
North West,40,40,100.00%
Nuapada,166,166,100.00%
Osmanabad,207,207,100.00%
Pakur,139,139,100.00%
Palakkad,459,459,100.00%
Palamu,287,287,100.00%
Pali,504,504,100.00%
Palwal,162,162,100.00%
