Branch Code,Branch Name,IFSC Code,Address,State
Br Code,Br. Name,IFSC Code,Branch Addres,State
0102,Waluj,YESB0000102,"Ground Floor,Vardhaman Complex,Plot No C-252/1, Mahavir Chowk, Midc Area, Waluj, Pin code- 431136",Maharashtra
0103,Chennai 2 (Parry'S),YESB0000103,"Yes Bank Ltd , No:3,Dass India Towers Second Line Beach , Parrys, Chennai 600001",Tamil Nadu
0104,Wazirabad,YESB0000104,"Yes Bank Ltd Ground Floor, Shop No 1, 2 & 5 A, Ocus Techno Polis, Golf Course Road, Wazirabad, Gurgaon, Haryana- 122002.",Haryana
0105,Gurgaon 2 (Sec-14),YESB0000105,"Yes Bank Ltd, Vidhi Plaza, Sco 25 Sector-14, Huda Market, Gurgaon-122001",Haryana
0106,Punjabi Bagh,YESB0000106,Yes Bank Ltd 10 West Avenue Road West Punjabi Bagh Delhi-110026,Delhi
0107,Shakarpur,YESB0000107,"S 529, Ground Floor, School Block, Mother Dairy Road , Shakarpur , Delhi - 110092",Delhi
0108,Baghpat,YESB0000108,"Ground Floor, Premises Bearing No. 116, Ward No. 16, Delhi Road, Baghpat, Pin- 250609",Uttar Pradesh
0109,Mohali,YESB0000109,"Yes Bank Limited, SCO 538, Sector70, Mohali , Punjab - 160071",Punjab
0110,Panchkula,YESB0000110,Sco 24 Huda Complex Sector 11 Panchkula 134109,Haryana
0111,Rajsamand,YESB0000111,"Ground Floor, Shree Hemdeep Complex, Plot No. 1 & 2, Kankroli, Rajsamand, Rajasthan - 313324.",Rajasthan
0112,Kosi Kalan,YESB0000112,"Municipal No. 118/A1/1, Khewat No. 244, Khasra No. 1281, Agarsen Nagar, Kosi Kalan, Mathura,Up – 281403",Uttar Pradesh
0113,Jhansi,YESB0000113,"Ground floor, 1448/1 Civil lines, Station road Opposite Gehna Jewellers,Jhansi, Uttar Pradesh-284001",Uttar Pradesh
0114,Alwar,YESB0000114,"Ground Floor (Left Side) Of Plot No 29, Scheme No 2, Lajpat Nagar, Alwar 301001, Rajasthan. Landmark – Opp. Icici Bank",Rajasthan
0115,Dehradun,YESB0000115,"Ground Floor, 56, Rajpur Road, Dehradun 248001, Uttarakhand. Land Mark – Building of Hotel Classic International",Uttarakhand
0117,Goregaon,YESB0000117,"Ground And 1St Floor,Shp No:E,,F Of A.K.Plaza,Junction Of Veer,Savarkar Flyover,S.V.Rd,Goregaon-W, 400062",Maharashtra
0118,Khandsa,YESB0000118,"Yes Bank Ltd, SCO 85, Sector 10A Market, Khandsa Road, Gurgaon 122001",Haryana
0119,Bhopal,YESB0000119,"Yes Bank Ltd.,  Gr Floor, Plot No. 215,  Mp Nagar, Phase 1, Bhopal, Madhya Pradesh-462011",Madhya Pradesh
0120,Ambala Cantt,YESB0000120,"4307, Shanti Complex, Ambala Jagadhri Road, Ambala Cantt-133001, Haryana",Haryana
